,peptidevalue_sum.Protein,hpopVar
197,DECOY_Q9BQ52,699.2154699
109,DECOY_P15924,698.3368182
258,P01042,693.2968686
152,DECOY_P80108,688.291864
231,O95810,680.7014273
93,DECOY_P09172,658.964857
252,P01011,656.2162661
101,DECOY_P12814,652.539492
274,P01613,652.2298799
294,P01770,638.5981636
111,DECOY_P17844,637.7395953
123,DECOY_P23528,630.045706
158,DECOY_Q07954,593.652019
205,DECOY_Q9Y4W6,591.7175337
285,P01717,589.6745049
284,P01714,589.2526201
201,DECOY_Q9P1Y5,583.5040605
143,DECOY_P49908,579.1579602
63,DECOY_P03952,558.2648105
279,P01700,555.6363645
113,DECOY_P19823,554.7071948
270,P01608,524.318665
166,DECOY_Q14204,516.9081907
220,O43866,516.4149125
246,P00748,511.6054398
139,DECOY_P39059,506.1055194
263,P01594,505.5790977
237,P00558,505.4350824
262,P01593,504.8258127
174,DECOY_Q15485,503.9932509
265,P01601,501.6226612
169,DECOY_Q14624,491.726651
245,P00747,480.317305
150,DECOY_P67936,479.9900312
87,DECOY_P07737,471.8089929
61,DECOY_P02790,465.0084029
180,DECOY_Q7Z5P9,462.1706766
125,DECOY_P25325,452.9515244
31,DECOY_P00747,449.8762428
256,P01031,446.4602884
91,DECOY_P08603,440.9075335
247,P00751,440.785708
115,DECOY_P20290,433.7556566
153,DECOY_P80188,419.8183359
190,DECOY_Q92954-6,419.4126268
160,DECOY_Q12860,418.167334
192,DECOY_Q96IY4,412.5683326
94,DECOY_P0C0L5,411.3991596
238,P00734,402.3494485
78,DECOY_P06576,397.6662679
239,P00736,389.2685988
221,O60306,388.4496728
140,DECOY_P42126,386.4667445
229,O95445,379.2476256
226,O75822,373.2659684
58,DECOY_P02775,371.0096147
225,O75636,368.8449592
46,DECOY_P02656,350.8653488
187,DECOY_Q92621,340.0144815
163,DECOY_Q13228,335.9667348
185,DECOY_Q8N6C8,331.3083913
215,O14791,329.9375769
147,DECOY_P55786,313.3713765
156,DECOY_Q06033,311.365887
157,DECOY_Q06830,307.6769393
135,DECOY_P35268,296.6390843
124,DECOY_P25311,295.2362295
103,DECOY_P12956,288.6095228
151,DECOY_P69905,285.9549468
98,DECOY_P11142,243.259376
92,DECOY_P08697,229.9617662
161,DECOY_Q13200,229.1128679
126,DECOY_P25705,225.6907106
127,DECOY_P26038,221.8103544
159,DECOY_Q09666,197.2312981
155,DECOY_Q01082,195.5416499
41,DECOY_P01701,186.2321975
141,DECOY_P43652,182.7186734
89,DECOY_P08185,165.7967794
102,DECOY_P12821,165.4254123
70,DECOY_P05019-3,160.197737
59,DECOY_P02787,153.2511316
138,DECOY_P35900,152.3657251
66,DECOY_P04114,150.3898138
134,DECOY_P35237,145.3275103
130,DECOY_P29622,144.2699092
136,DECOY_P35542,142.1758388
25,DECOY_P00451,124.8476255
47,DECOY_P02671,104.0750944
65,DECOY_P04004,101.7302252
96,DECOY_P10643,99.85370524
83,DECOY_P06753-2,99.33870211
107,DECOY_P14384,90.93792217
19,DECOY_O75882,89.85477654
54,DECOY_P02751,86.22470897
72,DECOY_P05154,84.25392673
42,DECOY_P01833,82.36878452
77,DECOY_P06396,80.8294759
64,DECOY_P04003,74.65514358
21,DECOY_O94769,73.48653786
39,DECOY_P01031,72.74341439
74,DECOY_P05156,70.01500732
57,DECOY_P02774,65.40662905
90,DECOY_P08572,62.14530679
17,DECOY_O75390,54.94524639
73,DECOY_P05155,53.39698944
80,DECOY_P06727,49.58674199
55,DECOY_P02765,47.45765651
71,DECOY_P05090,45.75982919
68,DECOY_P04278,44.5083459
29,DECOY_P00738,44.38569709
23,DECOY_O95445,37.68052691
32,DECOY_P00748,36.49055664
56,DECOY_P02768,29.74300704
36,DECOY_P01011,25.23764238
14,DECOY_O14983,24.42089603
30,DECOY_P00740,24.10359817
22,DECOY_O95373,23.2493848
20,DECOY_O75882-2,21.65476329
50,DECOY_P02747,19.45160397
48,DECOY_P02675,18.13282089
38,DECOY_P01024,17.11556562
10,cont|000140,14.04031209
40,DECOY_P01042,12.78860842
34,DECOY_P01008,10.47774627
15,DECOY_O43493,10.21251793
35,DECOY_P01009,9.757700498
26,DECOY_P00558,9.436628395
18,DECOY_O75636,5.967840212
11,cont|000141,5.798315838
16,DECOY_O75131,5.439915617
12,DECOY_C9J069,3.465710385
4,C9J069,3.191550755
7,cont|000108,0.551656258
6,cont|000107,0.363828687
1,A0M8Q6,0.051167032
2,A6NFK2,0.04853823
8,cont|000136,NA
13,DECOY_cont|000017,NA
24,DECOY_P00450,NA
27,DECOY_P00734,NA
28,DECOY_P00736,NA
33,DECOY_P00751,NA
37,DECOY_P01023,NA
53,DECOY_P02750,NA
88,DECOY_P07996,NA
100,DECOY_P12259,NA
112,DECOY_P17936,NA
137,DECOY_P35579,NA
175,DECOY_Q5SYB0,NA
214,O14786,NA
280,P01701,NA
288,P01743,NA
325,P02741,NA
397,P06733,NA
463,P14923,NA
488,P21333,NA
494,P22891,NA
503,P23396,NA
522,P29401,NA
538,P35527,NA
544,P35908,NA
563,P49327,NA
569,P49913,NA
604,P80419,NA
610,P98160,NA
615,Q01459,NA
658,Q15404,NA
694,Q8IZF2,NA
722,Q99459,NA
